skills,salary
"MongoDB,Python,MySQL,Redis,Java","от ,100 000, до ,200 000, ,руб., на руки"
"Python,Data Mining,SQL,Olap (online analytical processing),MS SQL","от ,180 000, ,руб., на руки"
"Python,Git,Разработка нового продукта,Разработка ПО,1С:Предприятие 8,DevOps,1С:Специалист,Цифровизация",з/п не указана
, з/п не указана
, з/п не указана
"Python,Функциональное тестирование,Регресионное тестирование,iOS,Тестирование",з/п не указана
"Python,JavaScript,Git,PostgreSQL,Node.js",з/п не указана
"C++,Python,Linux",з/п не указана
,з/п не указана
"Английский — A2 — Элементарный,QA,C++,Linux",з/п не указана
,"от ,180 000, ,руб., на руки"
, з/п не указана
"Web Application Development,Spring Framework,JavaScript,AngularJS,React,TypeScript,SCALA,Kotlin,Spring Boot,SQL,Git,Java,Redux,Docker",з/п не указана
, з/п не указана
"Java,Spring Framework","от ,140 000, до ,210 000, ,руб., на руки"
, з/п не указана
,з/п не указана
, з/п не указана
"PostgreSQL,Redis,Git,Python,Ruby On Rails,Управление проектами,Agile Project Management",з/п не указана
"Cisco,VoIP,Linux,Networking,Python",з/п не указана
, з/п не указана
"Python,PostgreSQL,Django Framework,Spring Framework,Java,Управление командой,Управление продуктом,Scrum,Анализ данных","от ,350 000, ,руб., на руки"
"Atlassian Jira,Git,HTML,Atlassian Confluence,CSS3","от ,50 000, до ,140 000, ,руб., на руки"
"Ruby On Rails,Ruby,PostgreSQL,Linux,Git,RabbitMQ",з/п не указана
, з/п не указана
"Linux,JavaScript,Python,Git,PostgreSQL",з/п не указана
"Python,SQL,Git,PostgreSQL,QA,IT",з/п не указана
"Python,SQL,Linux,C++,STL",з/п не указана
, з/п не указана
"Agile Project Management,Linux,Python,JavaScript,SQL","от ,125 000, ,руб., до вычета налогов"
"Python,HTML,JavaScript,Selenium,Pytest,Atlassian Jira,Git,Системное администрирование","от ,100 000, до ,200 000, ,руб., на руки"
"Linux,Администрирование серверов Linux,PHP,MySQL,Zabbix,Kubernetes,Kafka,RabbitMQ,Clickhouse,Redis",з/п не указана
"Системный анализ,UML,SQL,Проектирование пользовательских интерфейсов,Постановка задач разработчикам,Разработка технических заданий,ГОСТ,BPMN,EPC,REST,SOAP,Разработка проектной документации,Моделирование бизнес процессов,Бизнес-анализ,Atlassian Jira","от ,120 000, до ,180 000, ,руб., на руки"
, з/п не указана
, з/п не указана
"Node.js,JavaScript,MySQL,Git",з/п не указана
Английский — C1 — Продвинутый,з/п не указана
,от 170 000 до 220 000 руб. до вычета налогов
"Python,SQL,Git,Atlassian Jira,Linux",з/п не указана
"Jenkins,VMware,Docker,Celery,Linux,Gerrit,Postgre SQL,Django Framework,OpenStack,Python,SQL",з/п не указана
, з/п не указана
"Perl,Python,Linux,Unix,Git","от ,180 000, ,руб., до вычета налогов"
"Python,Git,Linux,C++,OpenCV,Tensorflow,ML,DS",з/п не указана
, з/п не указана
"Linux,docker,PostgreSQL,ORACLE,kubernetes,kafka,RabbitMQ,gitlab","от ,140 000, до ,175 000, ,руб., на руки"
, з/п не указана
,от 170 000 до 220 000 руб. до вычета налогов
, з/п не указана
, з/п не указана
,от 170 000 до 220 000 руб. до вычета налогов
,от 170 000 до 220 000 руб. до вычета налогов
"Java,Spring Framework,PostgreSQL,REST,Design Patterns,Microservice architecture",з/п не указана
, з/п не указана
"JavaScript,Linux,Python,Ruby,AngularJS,jMeter,Grinder,ApacheBench","от ,150 000, ,руб., до вычета налогов"
, з/п не указана
"Python,SQL,Django Framework,Node.js,PostgreSQL,MySQL","от ,300 000, ,руб., на руки"
, з/п не указана
"Java,SOAP,REST,Atlassian Jira,Git,CSS,HTML,Postman,Python",з/п не указана
"Английский — B2 — Средне-продвинутый,OWASP,Python,Java,PHP,JS,C++,C#",з/п не указана
, з/п не указана
"Python,Git,Факторный анализ,Linux,Управление разработкой",з/п не указана
,з/п не указана
"Atlassian Jira,Git,Python,Atlassian Confluence,Java,Unit Testing,UI,API,kotlin",з/п не указана
"Python,SQL,Аналитические исследования,PostgreSQL",з/п не указана
, з/п не указана
, з/п не указана
"Java,Spring Framework,Hibernate ORM,Apache Tomcat,SQL,Atlassian Jira,sprig boot",з/п не указана
, з/п не указана
"Python,SQL","от ,180 000, ,руб., на руки"
"MS SQL Server,MS Internet Explorer,MS SQL,Transact-SQL,C#",з/п не указана
,з/п не указана
, з/п не указана
"Atlassian Jira,Redis,MongoDB,Python,Функциональное тестирование,Logstash,Atlassian Confluence,REST API,Linux,автотесты",з/п не указана
, з/п не указана
, з/п не указана
,з/п не указана
"Git,Python,SQL,Регресионное тестирование,Linux",з/п не указана
"C/C++,С#,Python,Go,Perl,PHP,Java,Ruby",з/п не указана
, з/п не указана
"Python,SQL,Яндекс.Директ,Маркетинговый анализ",з/п не указана
,з/п не указана
,"от ,100 000, до ,120 000, ,руб., на руки"
"Hadoop,Kafka,Spark,Iron Python,OLAP-структуры,hive,ETL",з/п не указана
, з/п не указана
"Python,SQL,Django Framework,PostgreSQL,ORACLE,Linux,Kafka",з/п не указана
"JavaScript,Node.js,Rx,TypeScript,React,Redux,CSS,GraphQL",з/п не указана
, з/п не указана
, з/п не указана
"PostgreSQL,JavaScript,Python,Node.js","до ,200 000, ,руб., на руки"
